Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
17/11/1962,1962,11,Vefa,Altinordu,0-1,1-1,2,0,D,1,1
17/11/1962,1962,11,Kasimpasa,Izmirspor,0-0,1-0,1,1,H,0,0
18/11/1962,1962,10,Turanspor,Karsiyaka,0-0,2-2,4,0,D,0,0
18/11/1962,1962,10,Ankara Demirspor,Goztepe,1-1,1-1,2,0,D,0,1
18/11/1962,1962,11,Vefa,Izmirspor,0-1,1-1,2,0,D,0,0
18/11/1962,1962,11,Kasimpasa,Altinordu,0-0,0-0,0,0,D,0,0
24/11/1962,1962,11,Ferikoy,Genclerbirligi,0-0,1-2,3,-1,A,0,0
24/11/1962,1962,11,Turanspor,Beyogluspor,0-0,0-0,0,0,D,0,0
24/11/1962,1962,11,Beykoz 1908,Ankara Demirspor,1-0,2-0,2,2,H,0,0
25/11/1962,1962,11,Beykoz 1908,Genclerbirligi,0-1,0-1,1,-1,A,0,0
25/11/1962,1962,11,Ferikoy,Ankara Demirspor,0-1,0-1,1,-1,A,0,0
25/11/1962,1962,11,Karsiyaka,Fatih Karagumruk,2-1,2-1,3,1,H,0,0
25/11/1962,1962,12,Ankara Keciorengucu,Izmirspor,1-0,3-0,3,3,H,0,0
01/12/1962,1962,12,Genclerbirligi,Karsiyaka,3-0,4-0,4,4,H,0,0
01/12/1962,1962,12,Ferikoy,Turanspor,1-0,1-0,1,1,H,0,0
01/12/1962,1962,13,Istanbulspor,Turk Telekom,2-1,2-1,3,1,H,0,0
02/12/1962,1962,12,Ankara Demirspor,Altay,1-2,3-3,6,0,D,0,0
02/12/1962,1962,13,Yesildirek,Altinordu,0-0,1-0,1,1,H,0,0
02/12/1962,1962,13,Vefa,MKE Ankaragucu,1-2,1-2,3,-1,A,0,0
08/12/1962,1962,14,Fenerbahce,MKE Ankaragucu,0-0,2-0,2,2,H,0,0
08/12/1962,1962,14,Yesildirek,Izmirspor,0-0,0-1,1,-1,A,0,0
09/12/1962,1962,13,Turanspor,Beykoz 1908,1-1,1-1,2,0,D,0,0
09/12/1962,1962,13,Galatasaray,Beyogluspor,2-0,5-1,6,4,H,0,0
09/12/1962,1962,14,Istanbulspor,Vefa,1-1,3-2,5,1,H,1,0
15/12/1962,1962,14,Altay,Turanspor,1-0,1-0,1,1,H,0,0
16/12/1962,1962,14,Altay,Genclerbirligi,1-0,3-0,3,3,H,0,0
16/12/1962,1962,14,Karsiyaka,Beyogluspor,0-0,1-0,1,1,H,0,0
16/12/1962,1962,15,Vefa,Yesildirek,1-0,2-0,2,2,H,0,3
22/12/1962,1962,15,Galatasaray,Ankara Demirspor,1-0,2-2,4,0,D,0,0
